brain_region,cell_name,threshold_v,latency,peak_v,trough_v,peak_amp,upstroke_downstroke_ratio,adaptation,isi_cv,avg_rate,tau,sag,Rin,Cm,half_width,DepoR,RepoR,RMP,IS1,IS2
Frontal,frontal_lobe_0822_cell11,-41.91207886,0.01048,26.6494751,-54.6875,68.56155396,5.887151013,0.035255051,0.133078122,16,0.022313534,-0.748376249,351.3235474,-6.35128E-05,2.903289474,2.426147461,-0.429253829,-63.7,0.05251,0.081153333
Frontal,frontal_lobe_1123_cell15,-50.68969727,0.00853,-7.049560547,-54.90112305,43.64013672,2.490909091,,,2,0.028542796,-2.453918457,165.9532166,-0.000171993,0,2.325439453,-0.756835938,-54.3,0.01637,
Frontal,frontal_lobe_1123_cell26,-34.72900391,0.00378,12.90893555,,47.63793945,,,,2,0.026969716,-3.209014893,425.0561523,-6.34498E-05,1.92,2.429199219,-0.836181641,-44.5,0.123485,0.17605
Frontal,frontal_lobe_1207_cell2,-38.29956055,0.08448,20.7824707,,59.08203125,,,,2,0.006428371,-0.232040405,119.7816467,-5.36674E-05,2.821428571,1.961844308,-0.544956752,-54.2,0.12264,
Frontal,frontal_lobe_1207_cell3,-30.01098633,0.00548,18.56079102,-38.76495361,48.57177734,3.785576923,0.068175482,0.144654109,10,0.026411072,-0.361190796,283.3717346,-9.32029E-05,3.0375,1.78527832,-0.43741862,-49.9,0.0892625,0.11177
Frontal,frontal_lobe_1207_cell4,-39.61181641,0.00383,13.66170247,-45.12023926,53.27351888,3.61,-0.200384123,0.200384123,6,0.026484699,-0.539321899,235.0456238,-0.000112679,1.557142857,3.39617048,-1.033238002,-49.3,0.0772325,0.094696667
Frontal,frontal_lobe_1207_cell7,-43.21289063,0.02488,12.29858398,,55.51147461,,,,2,0.015076976,-0.512741089,126.2782288,-0.000119395,1.114285714,1.416887556,-0.483921596,-58.4,,
Temporal,temporal_lobe_0904_cell2,-35.99853516,0.02798,38.95874023,-45.39489746,74.95727539,7.011517901,0.057352849,0.126866461,10,0.026067657,-2.712398336,202.902832,-0.000128474,1.9125,7.957458496,-1.037597656,-55.8,0.066345,0.09077
Temporal,temporal_lobe_0904_cell3,-40.20472935,0.02518,35.20420619,-44.79544503,75.40893555,4.998833953,0.137133896,0.358930329,14,0.027443987,-1.63848877,163.3207703,-0.000168037,1.2875,8.865356445,-1.70135498,-59.4,0.0526975,0.053592667
Temporal,temporal_lobe_0904_cell4,-33.82110596,0.04128,32.88269043,-42.19563802,66.70379639,6.263167388,0.014898154,0.095113332,8,0.032562657,-0.433151245,303.9425659,-0.000107134,3.566666667,2.366129557,-0.43741862,-61,0.090885,0.08103
Occipital,occipital_lobe_1121_cell10,-32.81194513,0.01543,15.77203924,-36.93305122,48.58398438,2.686746946,0.035294006,0.210410361,22,0.010926754,-1.853408813,263.4121704,-4.14816E-05,0.333333333,2.380371094,-0.930786133,-58.1,0.034833333,0.03792
Occipital,occipital_lobe_1121_cell12,-36.18367513,0.00968,18.506368,-37.90283203,54.69004313,2.644290989,0.052703506,0.305495402,24,0.013240465,-0.503878198,188.9381409,-7.00783E-05,1.086,3.671875,-1.497802734,-54.9,0.02661,0.036578
Occipital,occipital_lobe_1121_cell5,-38.97094727,0.07333,16.12854004,-45.68481445,55.0994873,2.579528158,,0,4,0.01067621,-0.790670067,124.7897339,-8.55536E-05,0.49375,4.482269287,-1.899719238,-62.3,0.083376667,0.06867
Occipital,occipital_lobe_1202_cell15,-38.98620605,0.01578,33.58459473,-47.74983724,72.57080078,4.166666667,0.078858262,0.160310809,8,0.013883172,-0.336557253,117.3817444,-0.000118274,2.83125,3.791809082,-0.957489014,-57.3,0.08416,0.09531
Occipital,occipital_lobe_1202_cell17,-35.18676758,0.00183,5.523681641,,40.71044922,,,,2,0.016261213,-2.342809041,433.515625,-3.75101E-05,0,2.556842306,-1.328178074,-49.8,0.178625,
Occipital,occipital_lobe_1202_cell18,-42.31262207,0.00278,1.708984375,-46.75292969,44.02160645,2.088482075,-0.053191628,0.180512432,8,0.005758929,-0.757293701,110.6349182,-5.20534E-05,0.98,3.582763672,-1.434326172,-67.3,0.122165,0.11134
Occipital,occipital_lobe_1202_cell25,-44.37255859,0.00778,4.913330078,,49.28588867,,,,2,0.009811596,-1.570678711,130.0537109,-7.54426E-05,0,1.361083984,-0.555419922,-74.7,0.1049,
Occipital,occipital_lobe_1202_cell27,-42.96875,0.00613,13.50911458,-52.13419596,56.47786458,2.208041098,0.699338296,0.699338296,6,0.028327802,-0.984170779,225.7566833,-0.000125479,0.972222222,4.791259766,-1.671685113,-54.5,0.0268075,0.041635
Occipital,occipital_lobe_1202_cell8,-41.26446064,0.00213,-7.87118765,-49.67557467,33.39327299,1.977692591,0.055109763,0.849659611,26,0.008645409,-0.453353882,147.8590393,-5.84706E-05,0,4.221598307,-1.678466797,-50.4,0.013822,0.016026667
Occipital,occipital_lobe_1206_cell12,-47.6902553,0.00318,32.77151925,-51.69241769,80.46177455,3.777556087,0.043512951,0.16858107,14,0.010713987,-1.408828735,198.8296509,-5.38853E-05,1.658333333,4.670884874,-1.219007704,-59.4,0.06343,0.090153333
Occipital,occipital_lobe_1206_cell4,-36.68212891,0.00828,7.781982422,,44.46411133,,,,2,0.005019162,-0.315690166,153.3241272,-3.27356E-05,2.535714286,1.094273158,-0.523158482,-53.9,0.24831,
Occipital,occipital_lobe_1206_cell5,-35.987854,0.00588,20.82824707,-41.5802002,56.81610107,3.258820346,0.313809569,0.499624039,8,0.005998892,-0.608520508,127.3458862,-4.71071E-05,1.627586207,3.110688308,-0.978667161,-61.6,0.046976667,0.068546667
Temporal,temporal_lobe_0909_cell3,-24.9786377,0.03668,17.5374349,-39.87426758,42.51607259,2.239416667,0.048638687,0.127458147,12,0.03931941,-0.427843807,607.2740173,-6.47474E-05,2.89375,1.693725586,-0.76675415,-68.6,0.06202,0.081105
Temporal,temporal_lobe_0909_cell6,-33.73209635,0.07548,30.99568685,-56.16760254,64.7277832,5.59469697,0.059641183,0.059641183,6,0.02495129,-0.18982134,186.5124512,-0.000133778,2.76,3.009033203,-0.640869141,-68.2,0.14372,
Temporal,temporal_lobe_1118_cell10,-37.15297154,0.02653,23.55521066,-44.73368327,60.7081822,3.961190932,0.033206403,0.142748383,14,0.015827024,-1.719011865,264.2332458,-5.98979E-05,2.2,3.090413411,-0.762261285,-53.8,0.051022,0.050255
Temporal,temporal_lobe_1118_cell16,-40.0970459,0.00333,24.42932129,-56.21643066,64.52636719,1.757686969,0.09748674,0.709912346,20,0.010349665,-1.064645016,115.9700012,-8.92443E-05,0,6.015777588,-2.378463745,-59.8,0.01834,0.051226667
Temporal,temporal_lobe_1118_cell1,-38.66795131,0.00418,22.85984584,-43.52060954,61.52779715,3.034376683,0.033724736,0.2140662,28,0.022599993,-1.80406189,290.2627563,-7.78605E-05,1.133333333,4.940456814,-1.688639323,-57.8,0.031612,0.046814667
Temporal,temporal_lobe_1118_cell3,-33.02001953,0.00403,21.60644531,,54.62646484,,,,2,0.009138291,-0.497207642,148.2214355,-6.1653E-05,1.55,3.41796875,-1.312255859,-57.8,,
Temporal,temporal_lobe_1118_cell4,-26.04980469,0.02673,21.57592773,-32.35626221,47.62573242,2.444205971,0.155111267,0.411244564,10,0.015248399,-0.633499146,243.6250305,-6.25896E-05,1.77173913,2.160113791,-0.984523607,-61.7,0.058514,0.0625875
