region,cell_name,threshold_v,latency,peak_v,trough_v,peak_amp,upstroke_downstroke_ratio,adaptation,isi_cv,avg_rate,tau,sag,Rin,Cm,half_width,DepoR,RepoR,AHPAmp,AHP_latency,RMP,IS1,IS2
Frontal,frontal_lobe_0817_cell3,-42.91788737,0.00283,-1.251220703,-45.24230957,41.66666667,2.705182073,0.119155354,0.119155354,6,0.021332243,0.028546441,188.4780884,-0.000113182,0,2.502441406,-1.104736328,10.55297852,18.3,-54.5,0.02769,0.043463333
Frontal,frontal_lobe_0817_cell4,-21.91162109,0.01658,37.54679362,-30.86344401,59.45841471,4.60162037,0.450772082,0.450772082,6,0.012818882,0.023904519,86.83013916,-0.000147632,2.175,4.501342773,-0.946044922,10.86425781,21.55,-49.1,0.088396667,0.140806667
Frontal,frontal_lobe_0822_cell12,-41.58528646,0.08483,38.03507487,-48.20251465,79.62036133,4.783333333,0.523371006,0.523371006,6,0.014026302,0.015760951,130.1847839,-0.000107741,1.275,8.7890625,-1.419067383,9.857177734,21.65,-67.6,0.0536525,0.064233333
Frontal,frontal_lobe_0822_cell5,-36.11450195,0.05128,39.56298828,-52.96630859,75.67749023,3.304837616,0.060611937,0.161467187,10,0.017661044,0.036933344,288.6495972,-6.11851E-05,0.975,8.255004883,-2.502441406,18.37158203,13.975,-52.2,0.05192,0.045386667
Frontal,frontal_lobe_0822_cell9,-37.6663208,0.03868,29.9949646,-45.79162598,67.6612854,2.885202892,0.059762296,0.209097396,16,0.013661311,0.072701906,195.1287842,-7.00118E-05,0.95,6.072998047,-2.044677734,9.908040365,20.4,-64.03,0.03,0.03
Frontal,frontal_lobe_1024_cell3,-44.18945313,0.02053,33.75244141,-56.61773682,77.94189453,4.047293819,0.163794427,0.283228327,8,0.023141746,0.008446778,135.7911682,-0.000170422,1.27,3.741455078,-1.013183594,10.59570313,23.78,-68.64,0.046224,0.0491775
Frontal,frontal_lobe_1024_cell5,-37.15515137,0.06238,37.02799479,-49.45882161,74.18314616,5.153545508,0.203616264,0.513758909,12,0.027443987,0.091176248,163.3207703,-0.000168037,1.2,8.139474051,-1.599993025,17.62608119,19.67857143,-54.22,0.056538,0.05816
Frontal,frontal_lobe_1024_cell6,-26.11287435,0.06943,20.99609375,-40.12044271,47.1089681,2.299595142,0.292857143,0.292857143,6,0.007586767,0.117178141,137.9760742,-5.49861E-05,0.375,13.16833496,-5.630493164,17.04406738,2.45,-70.27,0.0412525,0.03499
Frontal,frontal_lobe_1123_cell10,-47.90649414,0.02038,27.28271484,-63.09407552,75.18920898,2.078128574,0.022205196,0.189835267,30,0.015981408,0.179634229,236.2142944,-6.76564E-05,0.433333333,10.56416829,-5.086263021,16.92199707,3.191666667,-66.4,0.01002,0.016026667
Frontal,frontal_lobe_1123_cell11,-40.6036377,0.00533,20.03261021,-46.16840069,60.63624791,3.442641717,0.008334499,0.075708796,28,0.015792084,0.103457683,364.5085144,-4.33243E-05,1.515,4.554748535,-1.239013672,10.66131592,24.4225,-53.9,0.032858333,0.035696667
Frontal,frontal_lobe_1123_cell12,-41.31673177,0.00903,11.02498372,-54.26025391,52.34171549,2.433528316,0.019136737,0.149409613,30,0.012664792,0.172791228,264.5150757,-4.78793E-05,0.371052632,4.877993935,-2.120168586,17.29704204,7.389473684,-55.6,0.018051429,0.01809
Frontal,frontal_lobe_1123_cell13,-41.28417969,0.00298,20.79467773,-56.9152832,62.07885742,2.134537821,0.08451745,0.261279157,10,0.013948287,0.035710054,182.3023987,-7.65118E-05,0.191666667,4.595438639,-2.184549967,12.97505697,8.083333333,-52.3,0.0194875,0.021085
Frontal,frontal_lobe_1123_cell14,-46.04797363,0.00318,2.31628418,-54.56848145,48.36425781,2.177958593,0.061255566,0.731251075,20,0.019699729,-0.037100892,161.3632202,-0.000122083,0.294444444,6.930881076,-3.255208333,11.2508138,4.827777778,-53,0.052866667,0.054538
Frontal,frontal_lobe_1123_cell17,-42.6940918,0.01788,-10.16998291,-52.90222168,32.52410889,2.009824685,0.006247692,1.137362739,8,0.010482659,0.0775587,227.5352478,-4.60705E-05,0.292857143,5.650111607,-2.733503069,15.4636928,4.685714286,-61.1,0.0418525,0.025583333
Frontal,frontal_lobe_1123_cell18,-39.89519392,0.00493,15.61192104,-57.37304688,55.50711496,1.813094508,0.045655663,1.513418372,14,0.012703173,0.013899766,187.1342468,-6.78827E-05,0.29,5.944824219,-3.198242188,18.4387207,3.72,-55.6,0.01664,0.0179725
Frontal,frontal_lobe_1123_cell21,-46.14257813,0.00563,8.987426758,-58.41064453,55.13000488,2.202196382,,0,4,0.009129666,0.094696623,247.5636292,-3.68781E-05,0.3625,4.371643066,-2.067565918,15.41137695,6.375,-58.8118,0.019633333,0.025595
Frontal,frontal_lobe_1123_cell22,-42.46139526,0.00443,-7.377624512,-52.05790202,35.08377075,2.199845587,0.014824073,0.118956677,48,0.009129666,0.094696623,247.5636292,-3.68781E-05,0,6.553649902,-3.005981445,13.32092285,4.01875,-55.4,0.021261667,0.010565
Frontal,frontal_lobe_1123_cell23,-51.2491862,0.01578,13.1632487,-61.51326497,64.4124349,2.457319021,0.264618434,0.264618434,6,0.017361308,0.196065211,391.3514709,-4.43624E-05,0.215,5.618286133,-2.334594727,13.17138672,8.475,-55.5,0.011782,0.01684
Frontal,frontal_lobe_1123_cell24,-44.74385579,0.00353,6.717681885,-52.73310343,51.46153768,2.174642399,0.009747444,0.10190618,48,0.016580407,0.056072324,249.079895,-6.65666E-05,0.2125,8.304595947,-3.833770752,10.90621948,4.0125,-57.1,0.020995,0.02578
Frontal,frontal_lobe_1123_cell25,-43.56486003,0.00478,1.621500651,-54.38232422,45.18636068,2.182564343,0.035698769,0.30637031,30,0.011471488,0.173190167,197.146759,-5.81876E-05,0,4.193115234,-1.837158203,12.16430664,11.51,-48.9,0.02059,0.0228
Frontal,frontal_lobe_1123_cell27,-49.21613421,0.00423,-2.663748605,-55.63063849,46.5523856,2.147772087,0.015865663,0.121311223,42,0.008238501,0.042324329,208.6140442,-3.94916E-05,0,6.134033203,-2.89577908,8.192274306,4.3,-53.5,0.039385,0.05388
