Height,Width,soma_surface_area,axon_total_length,dentrite_exiting_soma,dentrite_total_length,dentrite_mean_length,dentrite_node_number,dentrite_ending_number,dendritic_field_area,pixel_size,pixel_len,Filename,region,Soma_w,Soma_h,zoom_ratio,morphology
1024,1024,4.38E-05,0.139655172,5,1.21637931,0.243275862,13,11,0.024149078,58,0.000862069,frontal_lobe_1207_slice1_local1_roi1_cell3.tif,frontal_,501,474,2,BC
1024,1024,8.77E-05,0.087162162,4,1.236486486,0.309121622,12,14,0.016722973,74,0.000675676,frontal_lobe_1207_slice1_local1_roi1_cell6.tif,frontal_,837,367,2.551724138,BC
1024,1024,6.84E-05,0.123275862,3,1.414655172,0.471551724,21,19,0.022983799,58,0.000862069,frontal_lobe_1207_slice1_local1_roi2_cell1.tif,frontal_,333,296,2,BC
1024,1024,8.47E-05,0.125862069,5,1.071551724,0.214310345,14,14,0.015300238,58,0.000862069,frontal_lobe_1207_slice1_local1_roi2_cell2.tif,frontal_,418,475,2,BC
1024,1024,9.59E-05,0.080172414,6,1.422413793,0.237068966,16,14,0.031521254,58,0.000862069,frontal_lobe_1207_slice1_local1_roi2_cell4.tif,frontal_,611,571,2,BC
1024,1024,7.40E-05,0.02972973,3,0.722972973,0.241013514,10,12,0.013176132,74,0.000675676,frontal_lobe_1207_slice1_local1_roi3_cell1.tif,frontal_,252,218,2.551724138,BC
1024,1024,9.44E-05,0.138793103,4,1.292241379,0.323103448,20,17,0.020271254,58,0.000862069,frontal_lobe_1207_slice1_local1_roi3_cell3.tif,frontal_,411,593,2,BC
1024,1024,8.17E-05,0.059459459,4,0.895945946,0.223986486,13,12,0.012211468,74,0.000675676,frontal_lobe_1207_slice1_local1_roi3_cell4.tif,frontal_,554,556,2.551724138,BC
1024,1024,6.47E-05,0.115517241,3,0.581034483,0.193706897,8,10,0.008331599,58,0.000862069,frontal_lobe_1207_slice1_local1_roi4_cell1.tif,frontal_,188,342,2,BC
1024,1024,0.000107759,0.237068966,5,0.996551724,0.199310345,7,11,0.026975327,58,0.000862069,frontal_lobe_1207_slice1_local1_roi4_cell2.tif,frontal_,392,505,2,BC
1024,1024,4.38E-05,0.082758621,4,1.011206897,0.252758621,9,14,0.023763377,58,0.000862069,frontal_lobe_1207_slice1_local2_roi1_cell2.tif,frontal_,539,515,2,BC
1024,1024,6.67E-05,0.169594595,4,1.110810811,0.277702703,16,16,0.024579529,74,0.000675676,frontal_lobe_1207_slice1_local2_roi1_cell5.tif,frontal_,608,442,2.551724138,BC
1024,1024,7.58E-05,0.143965517,6,1.287931034,0.214655172,19,17,0.023334572,58,0.000862069,frontal_lobe_1207_slice1_local2_roi2_cell1.tif,frontal_,264,359,2,BC
1024,1024,0.000105529,0.106034483,3,1.032758621,0.344224138,9,11,0.028511445,58,0.000862069,frontal_lobe_1207_slice1_local2_roi2_cell3.tif,frontal_,523,308,2,BC
1024,1024,0.000119649,0.13362069,5,1.001724138,0.200344828,12,11,0.028101219,58,0.000862069,frontal_lobe_1207_slice1_local2_roi2_cell5.tif,frontal_,495,630,2,BC
1024,1024,4.83E-05,0.076724138,5,0.644827586,0.128965517,11,14,0.007273335,58,0.000862069,frontal_lobe_1207_slice1_local2_roi3_cell4.tif,frontal_,267,755,2,BC
1024,1024,6.69E-05,0.130172414,4,0.980172414,0.245,12,15,0.016341409,58,0.000862069,frontal_lobe_1207_slice1_local2_roi4_cell3.tif,frontal_,692,660,2,BC
1024,1024,4.76E-05,0.068965517,4,0.817241379,0.204310345,10,10,0.010778092,58,0.000862069,frontal_lobe_1207_slice1_local2_roi5_cell1.tif,frontal_,268,345,2,BC
1024,1024,6.71E-05,0.083108108,5,0.636486486,0.127297297,14,9,0.009163623,74,0.000675676,frontal_lobe_1207_slice1_local2_roi5_cell4.tif,frontal_,908,367,2.551724138,BC
1024,1024,5.28E-05,0.056896552,7,0.801724138,0.114568966,12,14,0.009560048,58,0.000862069,frontal_lobe_1207_slice1_local3_roi1_cell3.tif,frontal_,699,647,2,BC
1024,1024,5.28E-05,0.095689655,5,0.755172414,0.151034483,7,13,0.008151011,58,0.000862069,frontal_lobe_1207_slice1_local3_roi2_cell4.tif,frontal_,471,455,2,BC
1024,1024,8.77E-05,0.070689655,11,1.140517241,0.103706897,15,19,0.016461058,58,0.000862069,frontal_lobe_1207_slice1_local3_roi2_cell6.tif,frontal_,737,520,2,BC
1024,1024,5.65E-05,0.10862069,3,0.963793103,0.321293103,13,15,0.014415131,58,0.000862069,frontal_lobe_1207_slice1_local3_roi3_cell1.tif,frontal_,408,464,2,BC
1024,1024,7.13E-05,0.106034483,3,0.877586207,0.2925,11,12,0.013415577,58,0.000862069,frontal_lobe_1207_slice1_local3_roi3_cell2.tif,frontal_,423,434,2,BC
