Height,Width,soma_surface_area,axon_total_length,dentrite_exiting_soma,dentrite_total_length,dentrite_mean_length,dentrite_node_number,dentrite_ending_number,dendritic_field_area,pixel_size,pixel_len,Filename,region,Soma_w,Soma_h,ring_cross,ring_length,zoom_ratio
1024,1024,175.3864447,279.3103448,5,2432.758621,486.5517241,13,11,96596.31391,58,1.724137931,frontal_lobe_1207_slice1_local1_roi1_cell3.tif,frontal_,501,474,"[4, 5, 6, 8, 10, 9, 10, 9, 9, 9, 8, 7, 9, 8, 10, 10, 10, 9, 8, 8, 7, 7, 6, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50.0, 72.41379310344827, 82.75862068965517, 155.17241379310343, 110.34482758620689, 162.06896551724137, 127.58620689655172, 113.79310344827586, 98.27586206896551, 100.0, 100.0, 93.10344827586206, 110.34482758620689, 103.44827586206895, 108.62068965517241, 110.34482758620689, 93.10344827586206, 87.93103448275862, 77.58620689655172, 79.3103448275862, 74.13793103448275, 65.51724137931033, 46.55172413793103, 36.206896551724135, 39.6551724137931, 24.137931034482758, 8.620689655172413, 10.344827586206897, 10.344827586206897, 10.344827586206897, 8.620689655172413, 10.344827586206897, 10.344827586206897, 10.344827586206897, 10.344827586206897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,350.6208912,174.3243243,4,2472.972973,618.2432432,12,14,66891.89189,74,1.351351351,frontal_lobe_1207_slice1_local1_roi1_cell6.tif,frontal_,837,367,"[2, 6, 7, 7, 10, 10, 12, 11, 12, 14, 13, 13, 13, 12, 11, 10, 9, 7, 7, 7, 4, 4, 4, 3, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56.75675675675676, 86.48648648648648, 78.37837837837837, 110.8108108108108, 131.08108108108107, 117.56756756756756, 120.27027027027027, 163.51351351351352, 168.9189189189189, 156.75675675675674, 170.27027027027026, 147.2972972972973, 148.64864864864865, 121.62162162162161, 101.35135135135135, 89.1891891891892, 77.02702702702703, 70.27027027027027, 70.27027027027027, 51.35135135135135, 40.54054054054054, 39.189189189189186, 36.486486486486484, 29.72972972972973, 20.27027027027027, 14.864864864864865, 10.81081081081081, 10.81081081081081, 9.45945945945946, 1.3513513513513513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.551724138
1024,1024,273.4839477,246.5517241,3,2829.310345,943.1034483,21,19,91935.1962,58,1.724137931,frontal_lobe_1207_slice1_local1_roi2_cell1.tif,frontal_,333,296,"[1, 5, 5, 9, 8, 6, 8, 8, 10, 11, 11, 11, 17, 13, 15, 12, 10, 11, 9, 11, 8, 6, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29.310344827586206, 60.34482758620689, 87.93103448275862, 124.13793103448275, 82.75862068965517, 86.20689655172413, 84.48275862068965, 94.82758620689654, 165.51724137931035, 153.44827586206895, 125.86206896551724, 193.10344827586206, 205.17241379310343, 265.51724137931035, 218.9655172413793, 150.0, 125.86206896551724, 100.0, 96.55172413793103, 118.9655172413793, 112.06896551724137, 74.13793103448275, 39.6551724137931, 13.793103448275861, 10.344827586206897, 1.7241379310344827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,338.882283,251.7241379,5,2143.103448,428.6206897,14,14,61200.95125,58,1.724137931,frontal_lobe_1207_slice1_local1_roi2_cell2.tif,frontal_,418,475,"[2, 4, 8, 10, 10, 11, 10, 9, 9, 10, 13, 13, 11, 10, 9, 10, 7, 5, 4, 4, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37.93103448275862, 74.13793103448275, 160.3448275862069, 112.06896551724137, 122.41379310344827, 129.3103448275862, 134.48275862068965, 117.24137931034483, 151.72413793103448, 131.03448275862067, 136.20689655172413, 124.13793103448275, 112.06896551724137, 101.72413793103448, 105.17241379310344, 96.55172413793103, 67.24137931034483, 41.37931034482759, 50.0, 29.310344827586206, 18.96551724137931, 18.96551724137931, 18.96551724137931, 17.241379310344826, 18.96551724137931, 13.793103448275861, 1.7241379310344827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,383.4720571,160.3448276,6,2844.827586,474.137931,16,14,126085.0178,58,1.724137931,frontal_lobe_1207_slice1_local1_roi2_cell4.tif,frontal_,611,571,"[3, 5, 8, 9, 11, 11, 9, 10, 11, 12, 12, 12, 13, 12, 11, 11, 12, 12, 10, 9, 8, 7, 6, 6, 6, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[70.6896551724138, 103.44827586206895, 113.79310344827586, 153.44827586206895, 131.03448275862067, 127.58620689655172, 118.9655172413793, 124.13793103448275, 117.24137931034483, 117.24137931034483, 134.48275862068965, 141.3793103448276, 137.9310344827586, 141.3793103448276, 148.2758620689655, 125.86206896551724, 120.68965517241378, 118.9655172413793, 98.27586206896551, 84.48275862068965, 74.13793103448275, 62.068965517241374, 60.34482758620689, 60.34482758620689, 44.82758620689655, 27.586206896551722, 29.310344827586206, 31.034482758620687, 20.689655172413794, 3.4482758620689653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,295.8363769,59.45945946,3,1445.945946,482.027027,10,12,52704.52885,74,1.351351351,frontal_lobe_1207_slice1_local1_roi3_cell1.tif,frontal_,252,218,"[4, 3, 6, 7, 8, 8, 10, 11, 11, 11, 10, 11, 9, 7, 5, 4, 4, 4, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44.5945945945946, 62.16216216216216, 100.0, 89.1891891891892, 97.29729729729729, 102.7027027027027, 108.1081081081081, 105.4054054054054, 105.4054054054054, 109.45945945945945, 108.1081081081081, 91.89189189189189, 74.32432432432432, 55.4054054054054, 40.54054054054054, 37.83783783783784, 40.54054054054054, 33.78378378378378, 16.216216216216218, 9.45945945945946, 9.45945945945946, 1.3513513513513513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.551724138
1024,1024,377.5267539,277.5862069,4,2584.482759,646.2068966,20,17,81085.01784,58,1.724137931,frontal_lobe_1207_slice1_local1_roi3_cell3.tif,frontal_,411,593,"[0, 5, 10, 12, 11, 9, 13, 14, 12, 13, 13, 11, 8, 9, 10, 10, 10, 7, 7, 7, 6, 5, 5, 4, 4, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43.103448275862064, 77.58620689655172, 167.24137931034483, 132.75862068965517, 150.0, 124.13793103448275, 186.20689655172413, 181.03448275862067, 132.75862068965517, 151.72413793103448, 134.48275862068965, 110.34482758620689, 98.27586206896551, 113.79310344827586, 117.24137931034483, 106.89655172413792, 82.75862068965517, 72.41379310344827, 65.51724137931033, 60.34482758620689, 50.0, 50.0, 39.6551724137931, 39.6551724137931, 36.206896551724135, 24.137931034482758, 22.413793103448274, 12.068965517241379, 1.7241379310344827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,326.880935,118.9189189,4,1791.891892,447.972973,13,12,48845.8729,74,1.351351351,frontal_lobe_1207_slice1_local1_roi3_cell4.tif,frontal_,554,556,"[3, 4, 7, 8, 7, 7, 9, 11, 9, 8, 9, 9, 9, 8, 7, 8, 8, 7, 6, 4, 4, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[36.486486486486484, 64.86486486486487, 85.13513513513513, 87.83783783783784, 87.83783783783784, 110.8108108108108, 150.0, 131.08108108108107, 94.5945945945946, 95.94594594594594, 89.1891891891892, 91.89189189189189, 90.54054054054053, 86.48648648648648, 81.08108108108108, 77.02702702702703, 79.72972972972973, 66.21621621621621, 54.05405405405405, 50.0, 14.864864864864865, 10.81081081081081, 9.45945945945946, 10.81081081081081, 9.45945945945946, 9.45945945945946, 10.81081081081081, 5.405405405405405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.551724138
1024,1024,258.6206897,231.0344828,3,1162.068966,387.4137931,8,10,33326.39715,58,1.724137931,frontal_lobe_1207_slice1_local1_roi4_cell1.tif,frontal_,188,342,"[2, 3, 5, 7, 9, 9, 9, 8, 9, 8, 7, 7, 6, 5, 4, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[31.034482758620687, 53.44827586206896, 82.75862068965517, 94.82758620689654, 113.79310344827586, 105.17241379310344, 96.55172413793103, 94.82758620689654, 105.17241379310344, 67.24137931034483, 81.03448275862068, 68.9655172413793, 51.72413793103448, 48.275862068965516, 27.586206896551722, 15.517241379310343, 8.620689655172413, 10.344827586206897, 1.7241379310344827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1024,1024,431.0344828,474.137931,5,1993.103448,398.6206897,7,11,107901.308,58,1.724137931,frontal_lobe_1207_slice1_local1_roi4_cell2.tif,frontal_,392,505,"[1, 3, 6, 6, 9, 9, 9, 9, 9, 10, 10, 10, 10, 9, 8, 9, 6, 6, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25.86206896551724, 60.34482758620689, 84.48275862068965, 96.55172413793103, 120.68965517241378, 100.0, 96.55172413793103, 91.37931034482759, 112.06896551724137, 98.27586206896551, 98.27586206896551, 103.44827586206895, 103.44827586206895, 106.89655172413792, 93.10344827586206, 63.79310344827586, 62.068965517241374, 48.275862068965516, 39.6551724137931, 27.586206896551722, 25.86206896551724, 20.689655172413794, 20.689655172413794, 20.689655172413794, 20.689655172413794, 17.241379310344826, 34.48275862068965, 27.586206896551722, 22.413793103448274, 32.75862068965517, 20.689655172413794, 17.241379310344826, 20.689655172413794, 13.793103448275861, 12.068965517241379, 10.344827586206897, 10.344827586206897, 10.344827586206897, 1.7241379310344827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
