Filename,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,round20,round21,round22,round23,round24,round25,round26,round27,round28,round29,round30,round31,round32,round33,round34,round35,round36,round37,round38,round39,round40,round41,round42,round43,round44,round45,round46,round47,round48,round49,region
frontal_lobe_1207_slice1_local1_roi1_cell3.tif,4,5,6,8,10,9,10,9,9,9,8,7,9,8,10,10,10,9,8,8,7,7,6,4,4,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi1_cell6.tif,2,6,7,7,10,10,12,11,12,14,13,13,13,12,11,10,9,7,7,7,4,4,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi2_cell1.tif,1,5,5,9,8,6,8,8,10,11,11,11,17,13,15,12,10,11,9,11,8,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi2_cell2.tif,2,4,8,10,10,11,10,9,9,10,13,13,11,10,9,10,7,5,4,4,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi2_cell4.tif,3,5,8,9,11,11,9,10,11,12,12,12,13,12,11,11,12,12,10,9,8,7,6,6,6,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi3_cell1.tif,4,3,6,7,8,8,10,11,11,11,10,11,9,7,5,4,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi3_cell3.tif,0,5,10,12,11,9,13,14,12,13,13,11,8,9,10,10,10,7,7,7,6,5,5,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi3_cell4.tif,3,4,7,8,7,7,9,11,9,8,9,9,9,8,7,8,8,7,6,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi4_cell1.tif,2,3,5,7,9,9,9,8,9,8,7,7,6,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local1_roi4_cell2.tif,1,3,6,6,9,9,9,9,9,10,10,10,10,9,8,9,6,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local2_roi1_cell2.tif,4,4,8,6,7,9,10,11,11,12,12,11,9,9,9,9,7,6,5,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local2_roi1_cell5.tif,3,7,7,10,10,12,13,11,12,12,12,12,13,12,12,11,11,7,6,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local2_roi2_cell1.tif,3,6,5,9,10,14,14,15,15,15,15,14,12,11,11,10,8,5,5,5,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local2_roi2_cell3.tif,1,3,3,5,5,7,8,8,10,12,12,13,10,10,9,7,7,6,7,5,5,5,5,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
frontal_lobe_1207_slice1_local2_roi2_cell5.tif,2,4,7,7,10,9,10,10,11,10,11,11,11,9,9,9,6,6,6,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frontal_
