,group,region1,region2,p,sig
0,round1,frontal_,occipita,0.9,N
1,round1,frontal_,temporal,0.9,N
2,round1,occipita,temporal,0.9,N
3,round2,frontal_,occipita,0.9,N
4,round2,frontal_,temporal,0.2222,N
5,round2,occipita,temporal,0.1884,N
6,round3,frontal_,occipita,0.9,N
7,round3,frontal_,temporal,0.0711,N
8,round3,occipita,temporal,0.0413,Y
9,round4,frontal_,occipita,0.7538,N
10,round4,frontal_,temporal,0.3235,N
11,round4,occipita,temporal,0.0684,N
12,round5,frontal_,occipita,0.4982,N
13,round5,frontal_,temporal,0.8338,N
14,round5,occipita,temporal,0.203,N
15,round6,frontal_,occipita,0.0116,Y
16,round6,frontal_,temporal,0.9,N
17,round6,occipita,temporal,0.005,Y
18,round7,frontal_,occipita,0.0068,Y
19,round7,frontal_,temporal,0.7476,N
20,round7,occipita,temporal,0.001,Y
21,round8,frontal_,occipita,0.0115,Y
22,round8,frontal_,temporal,0.4583,N
23,round8,occipita,temporal,0.001,Y
24,round9,frontal_,occipita,0.0246,Y
25,round9,frontal_,temporal,0.3336,N
26,round9,occipita,temporal,0.001,Y
27,round10,frontal_,occipita,0.0426,Y
28,round10,frontal_,temporal,0.441,N
29,round10,occipita,temporal,0.001,Y
30,round11,frontal_,occipita,0.0244,Y
31,round11,frontal_,temporal,0.5657,N
32,round11,occipita,temporal,0.001,Y
33,round12,frontal_,occipita,0.1981,N
34,round12,frontal_,temporal,0.4276,N
35,round12,occipita,temporal,0.0073,Y
36,round13,frontal_,occipita,0.2078,N
37,round13,frontal_,temporal,0.9,N
38,round13,occipita,temporal,0.1161,N
39,round14,frontal_,occipita,0.2452,N
40,round14,frontal_,temporal,0.9,N
41,round14,occipita,temporal,0.3734,N
42,round15,frontal_,occipita,0.2271,N
43,round15,frontal_,temporal,0.9,N
44,round15,occipita,temporal,0.3883,N
45,round16,frontal_,occipita,0.2274,N
46,round16,frontal_,temporal,0.7694,N
47,round16,occipita,temporal,0.6043,N
48,round17,frontal_,occipita,0.2609,N
49,round17,frontal_,temporal,0.5391,N
50,round17,occipita,temporal,0.8997,N
51,round18,frontal_,occipita,0.1491,N
52,round18,frontal_,temporal,0.5219,N
53,round18,occipita,temporal,0.7436,N
54,round19,frontal_,occipita,0.1527,N
55,round19,frontal_,temporal,0.7353,N
56,round19,occipita,temporal,0.5191,N
57,round20,frontal_,occipita,0.1873,N
58,round20,frontal_,temporal,0.852,N
59,round20,occipita,temporal,0.4518,N
60,round21,frontal_,occipita,0.1212,N
61,round21,frontal_,temporal,0.9,N
62,round21,occipita,temporal,0.2023,N
63,round22,frontal_,occipita,0.0742,N
64,round22,frontal_,temporal,0.9,N
65,round22,occipita,temporal,0.0826,N
66,round23,frontal_,occipita,0.0527,N
67,round23,frontal_,temporal,0.9,N
68,round23,occipita,temporal,0.0527,N
69,round24,frontal_,occipita,0.0384,Y
70,round24,frontal_,temporal,0.9,N
71,round24,occipita,temporal,0.0384,Y
72,round25,frontal_,occipita,0.0775,N
73,round25,frontal_,temporal,0.9,N
74,round25,occipita,temporal,0.0535,N
75,round26,frontal_,occipita,0.0365,Y
76,round26,frontal_,temporal,0.9,N
77,round26,occipita,temporal,0.042,Y
78,round27,frontal_,occipita,0.0165,Y
79,round27,frontal_,temporal,0.9,N
80,round27,occipita,temporal,0.0254,Y
81,round28,frontal_,occipita,0.0224,Y
82,round28,frontal_,temporal,0.9,N
83,round28,occipita,temporal,0.0396,Y
84,round29,frontal_,occipita,0.0264,Y
85,round29,frontal_,temporal,0.9,N
86,round29,occipita,temporal,0.0549,N
87,round30,frontal_,occipita,0.0246,Y
88,round30,frontal_,temporal,0.9,N
89,round30,occipita,temporal,0.0455,Y
90,round31,frontal_,occipita,0.0231,Y
91,round31,frontal_,temporal,0.9,N
92,round31,occipita,temporal,0.0551,N
93,round32,frontal_,occipita,0.0276,Y
94,round32,frontal_,temporal,0.9,N
95,round32,occipita,temporal,0.0719,N
96,round33,frontal_,occipita,0.035,Y
97,round33,frontal_,temporal,0.9,N
98,round33,occipita,temporal,0.0552,N
99,round34,frontal_,occipita,0.0466,Y
100,round34,frontal_,temporal,0.9,N
101,round34,occipita,temporal,0.0466,Y
102,round35,frontal_,occipita,0.0268,Y
103,round35,frontal_,temporal,0.9,N
104,round35,occipita,temporal,0.0439,Y
105,round36,frontal_,occipita,0.0189,Y
106,round36,frontal_,temporal,0.9,N
107,round36,occipita,temporal,0.0337,Y
108,round37,frontal_,occipita,0.0193,Y
109,round37,frontal_,temporal,0.9,N
110,round37,occipita,temporal,0.0396,Y
111,round38,frontal_,occipita,0.038,Y
112,round38,frontal_,temporal,0.9,N
113,round38,occipita,temporal,0.038,Y
114,round39,frontal_,occipita,0.0281,Y
115,round39,frontal_,temporal,0.9,N
116,round39,occipita,temporal,0.0281,Y
117,round40,frontal_,occipita,0.0593,N
118,round40,frontal_,temporal,0.9,N
119,round40,occipita,temporal,0.0973,N
120,round41,frontal_,occipita,0.0636,N
121,round41,frontal_,temporal,0.9,N
122,round41,occipita,temporal,0.1066,N
123,round42,frontal_,occipita,0.0671,N
124,round42,frontal_,temporal,0.9,N
125,round42,occipita,temporal,0.1157,N
126,round43,frontal_,occipita,0.0757,N
127,round43,frontal_,temporal,0.8423,N
128,round43,occipita,temporal,0.2376,N
129,round44,frontal_,occipita,0.0641,N
130,round44,frontal_,temporal,0.9,N
131,round44,occipita,temporal,0.1301,N
132,round45,frontal_,occipita,0.0879,N
133,round45,frontal_,temporal,0.9,N
134,round45,occipita,temporal,0.0879,N
135,round46,frontal_,occipita,0.0727,N
136,round46,frontal_,temporal,0.9,N
137,round46,occipita,temporal,0.0727,N
138,round47,frontal_,occipita,0.119,N
139,round47,frontal_,temporal,0.9,N
140,round47,occipita,temporal,0.119,N
141,round48,frontal_,occipita,0.1882,N
142,round48,frontal_,temporal,0.9,N
143,round48,occipita,temporal,0.1882,N
144,round49,frontal_,occipita,0.1339,N
145,round49,frontal_,temporal,0.9,N
146,round49,occipita,temporal,0.1339,N
