,group,region1,region2,p,sig
0,round1,frontal_,occipita,0.9,N
1,round1,frontal_,temporal,0.8369,N
2,round1,occipita,temporal,0.7395,N
3,round2,frontal_,occipita,0.9,N
4,round2,frontal_,temporal,0.2693,N
5,round2,occipita,temporal,0.1029,N
6,round3,frontal_,occipita,0.9,N
7,round3,frontal_,temporal,0.1925,N
8,round3,occipita,temporal,0.2476,N
9,round4,frontal_,occipita,0.5769,N
10,round4,frontal_,temporal,0.9,N
11,round4,occipita,temporal,0.4653,N
12,round5,frontal_,occipita,0.3131,N
13,round5,frontal_,temporal,0.9,N
14,round5,occipita,temporal,0.278,N
15,round6,frontal_,occipita,0.012,Y
16,round6,frontal_,temporal,0.7398,N
17,round6,occipita,temporal,0.0011,Y
18,round7,frontal_,occipita,0.074,N
19,round7,frontal_,temporal,0.5775,N
20,round7,occipita,temporal,0.004,Y
21,round8,frontal_,occipita,0.0911,N
22,round8,frontal_,temporal,0.7206,N
23,round8,occipita,temporal,0.0119,Y
24,round9,frontal_,occipita,0.0772,N
25,round9,frontal_,temporal,0.638,N
26,round9,occipita,temporal,0.006,Y
27,round10,frontal_,occipita,0.029,Y
28,round10,frontal_,temporal,0.9,N
29,round10,occipita,temporal,0.0212,Y
30,round11,frontal_,occipita,0.1099,N
31,round11,frontal_,temporal,0.756,N
32,round11,occipita,temporal,0.0184,Y
33,round12,frontal_,occipita,0.1177,N
34,round12,frontal_,temporal,0.9,N
35,round12,occipita,temporal,0.1886,N
36,round13,frontal_,occipita,0.0999,N
37,round13,frontal_,temporal,0.9,N
38,round13,occipita,temporal,0.1245,N
39,round14,frontal_,occipita,0.3974,N
40,round14,frontal_,temporal,0.9,N
41,round14,occipita,temporal,0.4021,N
42,round15,frontal_,occipita,0.2073,N
43,round15,frontal_,temporal,0.89,N
44,round15,occipita,temporal,0.4418,N
45,round16,frontal_,occipita,0.0671,N
46,round16,frontal_,temporal,0.4852,N
47,round16,occipita,temporal,0.57,N
48,round17,frontal_,occipita,0.163,N
49,round17,frontal_,temporal,0.4515,N
50,round17,occipita,temporal,0.8441,N
51,round18,frontal_,occipita,0.0896,N
52,round18,frontal_,temporal,0.6465,N
53,round18,occipita,temporal,0.4682,N
54,round19,frontal_,occipita,0.1306,N
55,round19,frontal_,temporal,0.7093,N
56,round19,occipita,temporal,0.5028,N
57,round20,frontal_,occipita,0.1044,N
58,round20,frontal_,temporal,0.9,N
59,round20,occipita,temporal,0.2018,N
60,round21,frontal_,occipita,0.0864,N
61,round21,frontal_,temporal,0.9,N
62,round21,occipita,temporal,0.1009,N
63,round22,frontal_,occipita,0.045,Y
64,round22,frontal_,temporal,0.9,N
65,round22,occipita,temporal,0.0438,Y
66,round23,frontal_,occipita,0.0312,Y
67,round23,frontal_,temporal,0.9,N
68,round23,occipita,temporal,0.026,Y
69,round24,frontal_,occipita,0.109,N
70,round24,frontal_,temporal,0.9,N
71,round24,occipita,temporal,0.0626,N
72,round25,frontal_,occipita,0.0339,Y
73,round25,frontal_,temporal,0.9,N
74,round25,occipita,temporal,0.0364,Y
75,round26,frontal_,occipita,0.0272,Y
76,round26,frontal_,temporal,0.9,N
77,round26,occipita,temporal,0.0298,Y
78,round27,frontal_,occipita,0.0221,Y
79,round27,frontal_,temporal,0.9,N
80,round27,occipita,temporal,0.0282,Y
81,round28,frontal_,occipita,0.0273,Y
82,round28,frontal_,temporal,0.9,N
83,round28,occipita,temporal,0.0386,Y
84,round29,frontal_,occipita,0.0266,Y
85,round29,frontal_,temporal,0.9,N
86,round29,occipita,temporal,0.043,Y
87,round30,frontal_,occipita,0.0306,Y
88,round30,frontal_,temporal,0.9,N
89,round30,occipita,temporal,0.0452,Y
90,round31,frontal_,occipita,0.0417,Y
91,round31,frontal_,temporal,0.9,N
92,round31,occipita,temporal,0.0725,N
93,round32,frontal_,occipita,0.0244,Y
94,round32,frontal_,temporal,0.9,N
95,round32,occipita,temporal,0.052,N
96,round33,frontal_,occipita,0.0329,Y
97,round33,frontal_,temporal,0.9,N
98,round33,occipita,temporal,0.0301,Y
99,round34,frontal_,occipita,0.033,Y
100,round34,frontal_,temporal,0.9,N
101,round34,occipita,temporal,0.0492,Y
102,round35,frontal_,occipita,0.0254,Y
103,round35,frontal_,temporal,0.9,N
104,round35,occipita,temporal,0.0332,Y
105,round36,frontal_,occipita,0.0165,Y
106,round36,frontal_,temporal,0.9,N
107,round36,occipita,temporal,0.04,Y
108,round37,frontal_,occipita,0.0341,Y
109,round37,frontal_,temporal,0.9,N
110,round37,occipita,temporal,0.0459,Y
111,round38,frontal_,occipita,0.038,Y
112,round38,frontal_,temporal,0.9,N
113,round38,occipita,temporal,0.038,Y
114,round39,frontal_,occipita,0.0327,Y
115,round39,frontal_,temporal,0.9,N
116,round39,occipita,temporal,0.0495,Y
117,round40,frontal_,occipita,0.0677,N
118,round40,frontal_,temporal,0.9,N
119,round40,occipita,temporal,0.1055,N
120,round41,frontal_,occipita,0.0689,N
121,round41,frontal_,temporal,0.9,N
122,round41,occipita,temporal,0.1335,N
123,round42,frontal_,occipita,0.0875,N
